# Nbin	Variable	Parameter	Value	Uncertainty -	Uncertainty +	(%)
3	m3l	r_prompt_WZ	+1.000	-0.072	+0.079	(68%)
4	m3l	r_prompt_WZ	+1.000	-0.026	+0.026	(68%)
5	m3l	r_prompt_WZ	+1.000	-0.072	+0.077	(68%)
6	m3l	r_prompt_WZ	+1.000	-0.071	+0.078	(68%)
7	m3l	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
8	m3l	r_prompt_WZ	+1.000	-0.071	+0.077	(68%)
9	m3l	r_prompt_WZ	+1.000	-0.071	+0.077	(68%)
10	m3l	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
11	m3l	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
12	m3l	r_prompt_WZ	+1.000	-0.071	+0.077	(68%)
13	m3l	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
14	m3l	r_prompt_WZ	+1.000	-0.070	+0.075	(68%)
15	m3l	r_prompt_WZ	+1.000	-0.070	+0.076	(68%)
3	met	r_prompt_WZ	+1.000	-0.072	+0.078	(68%)
4	met	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
5	met	r_prompt_WZ	+1.000	-0.072	+0.077	(68%)
6	met	r_prompt_WZ	+1.000	-0.072	+0.077	(68%)
7	met	r_prompt_WZ	+1.000	-0.072	+0.077	(68%)
8	met	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
9	met	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
10	met	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
11	met	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
12	met	r_prompt_WZ	+1.000	-0.071	+0.075	(68%)
13	met	r_prompt_WZ	+1.000	-0.071	+0.077	(68%)
14	met	r_prompt_WZ	+1.000	-0.071	+0.075	(68%)
15	met	r_prompt_WZ	+1.000	-0.071	+0.075	(68%)
3	m3lmet_Meas	r_prompt_WZ	+1.000	-0.073	+0.077	(68%)
4	m3lmet_Meas	r_prompt_WZ	+1.000	-0.071	+0.075	(68%)
5	m3lmet_Meas	r_prompt_WZ	+1.000	-0.071	+0.075	(68%)
6	m3lmet_Meas	r_prompt_WZ	+1.000	-0.071	+0.076	(68%)
7	m3lmet_Meas	r_prompt_WZ	+1.000	-0.070	+0.075	(68%)
8	m3lmet_Meas	r_prompt_WZ	+1.000	-0.069	+0.073	(68%)
9	m3lmet_Meas	r_prompt_WZ	+1.000	-0.071	+0.074	(68%)
10	m3lmet_Meas	r_prompt_WZ	+1.000	-0.071	+0.074	(68%)
11	m3lmet_Meas	r_prompt_WZ	+1.000	-0.070	+0.073	(68%)
12	m3lmet_Meas	r_prompt_WZ	+1.000	-0.070	+0.073	(68%)
13	m3lmet_Meas	r_prompt_WZ	+1.000	-0.069	+0.072	(68%)
14	m3lmet_Meas	r_prompt_WZ	+1.000	-0.069	+0.073	(68%)
15	m3lmet_Meas	r_prompt_WZ	+1.000	-0.069	+0.074	(68%)
